locus_tag	ftype	length_bp	gene	EC_number	COG	product
LMAHELFL_00350	CDS	1089	hcxA	1.1.1.-	COG0371	Hydroxycarboxylate dehydrogenase A
LMAHELFL_00351	CDS	1161	ybdL	2.6.1.88	COG0436	Methionine aminotransferase
LMAHELFL_00352	CDS	618	ybdM_1		COG1475	putative protein YbdM
LMAHELFL_00353	CDS	1236	cysH_1	1.8.4.8		Phosphoadenosine phosphosulfate reductase
LMAHELFL_00354	CDS	903	ybdO_1			putative HTH-type transcriptional regulator YbdO
LMAHELFL_00355	CDS	747	dsbG		COG1651	Thiol:disulfide interchange protein DsbG
LMAHELFL_00356	CDS	564	ahpC_2	1.11.1.15	COG0450	Alkyl hydroperoxide reductase C
LMAHELFL_00357	CDS	1566	ahpF	1.8.1.-	COG3634	Alkyl hydroperoxide reductase subunit F
LMAHELFL_00358	CDS	561	dmsD_1			Tat proofreading chaperone DmsD
LMAHELFL_00359	CDS	2280	ynfE_1	1.8.99.-	COG0243	Putative dimethyl sulfoxide reductase chain YnfE
LMAHELFL_00360	CDS	558	rsxB_1	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
LMAHELFL_00361	CDS	768				hypothetical protein
LMAHELFL_00362	CDS	429	uspG		COG0589	Universal stress protein UP12
LMAHELFL_00363	CDS	1239		1.1.1.1	COG1063	putative zinc-binding alcohol dehydrogenase
LMAHELFL_00364	CDS	411	rnk		COG0782	Regulator of nucleoside diphosphate kinase
LMAHELFL_00365	CDS	807	rna	4.6.1.21	COG3719	Ribonuclease I
LMAHELFL_00366	CDS	1464	ttdT		COG0471	L-tartrate/succinate antiporter
LMAHELFL_00367	CDS	897	citG_1	2.4.2.52	COG1767	2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase
LMAHELFL_00368	CDS	552	citX_1	2.7.7.61	COG3697	Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase
LMAHELFL_00369	CDS	1530	citF_1	4.1.3.6	COG3051	Citrate lyase alpha chain
LMAHELFL_00370	CDS	909	citE_1	4.1.3.6	COG2301	Citrate lyase subunit beta
LMAHELFL_00371	CDS	297	citD_1		COG3052	Citrate lyase acyl carrier protein
LMAHELFL_00372	CDS	1077	citC_1	6.2.1.22	COG3053	[Citrate [pro-3S]-lyase] ligase
LMAHELFL_00373	CDS	1662	dpiB	2.7.13.3	COG3290	Sensor histidine kinase DpiB
LMAHELFL_00374	CDS	681	dpiA		COG4565	Transcriptional regulatory protein DpiA
LMAHELFL_00375	CDS	1386	dcuD		COG3069	Putative cryptic C4-dicarboxylate transporter DcuD
LMAHELFL_00376	CDS	573	pagP	2.3.1.251		Lipid A palmitoyltransferase PagP
LMAHELFL_00377	CDS	210	cspE			Cold shock-like protein CspE
LMAHELFL_00378	CDS	384	crcB		COG0239	Putative fluoride ion transporter CrcB
LMAHELFL_00379	CDS	789	ybeM	3.5.1.128		Deaminated glutathione amidase
LMAHELFL_00380	CDS	204	tatE		COG1826	Sec-independent protein translocase protein TatE
LMAHELFL_00381	CDS	966	lipA	2.8.1.8	COG0320	Lipoyl synthase
LMAHELFL_00382	CDS	954	ybdO_2			putative HTH-type transcriptional regulator YbdO
LMAHELFL_00383	CDS	642	lipB	2.3.1.181	COG0321	Octanoyltransferase
LMAHELFL_00384	CDS	264				hypothetical protein
LMAHELFL_00385	CDS	1212	dacA	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacA
LMAHELFL_00386	CDS	1134	rlpA	4.2.2.-	COG0797	Endolytic peptidoglycan transglycosylase RlpA
LMAHELFL_00387	CDS	1113	mrdB	2.4.1.129	COG0772	Peptidoglycan glycosyltransferase MrdB
LMAHELFL_00388	CDS	1902	mrdA_1	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
LMAHELFL_00389	CDS	468	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
LMAHELFL_00390	CDS	318	rsfS		COG0799	Ribosomal silencing factor RsfS
LMAHELFL_00391	CDS	642	cobC_1	3.1.3.73	COG0406	Adenosylcobalamin/alpha-ribazole phosphatase
LMAHELFL_00392	CDS	1095	cobD_1	4.1.1.81	COG0079	Threonine-phosphate decarboxylase
LMAHELFL_00393	CDS	651	nadD	2.7.7.18	COG1057	Nicotinate-nucleotide adenylyltransferase
LMAHELFL_00394	CDS	1032	holA	2.7.7.7	COG1466	DNA polymerase III subunit delta
LMAHELFL_00395	CDS	591	lptE		COG2980	LPS-assembly lipoprotein LptE
LMAHELFL_00396	CDS	2583	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
LMAHELFL_00397	CDS	291	uxaA	4.2.1.7	COG2721	Altronate dehydratase
LMAHELFL_00398	CDS	1251	suyB	4.4.1.24		(2R)-sulfolactate sulfo-lyase subunit beta
LMAHELFL_00399	CDS	954	kdgT_1			2-keto-3-deoxygluconate permease
LMAHELFL_00400	CDS	1929	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
LMAHELFL_00401	CDS	474				hypothetical protein
LMAHELFL_00402	CDS	996	esiB			Secretory immunoglobulin A-binding protein EsiB
LMAHELFL_00403	CDS	708				hypothetical protein
LMAHELFL_00404	CDS	1434				hypothetical protein
LMAHELFL_00405	CDS	696				hypothetical protein
LMAHELFL_00406	CDS	1464				hypothetical protein
LMAHELFL_00407	CDS	1680	hscC		COG0443	Chaperone protein HscC
LMAHELFL_00408	CDS	1239				hypothetical protein
LMAHELFL_00409	CDS	936	rihA	3.2.-.-	COG1957	Pyrimidine-specific ribonucleoside hydrolase RihA
LMAHELFL_00410	CDS	726	glnQ_1			Glutamine transport ATP-binding protein GlnQ
LMAHELFL_00411	CDS	675	gltK		COG0765	Glutamate/aspartate import permease protein GltK
LMAHELFL_00412	CDS	741	gltJ		COG0765	Glutamate/aspartate import permease protein GltJ
LMAHELFL_00413	CDS	909	gltI		COG0834	Glutamate/aspartate import solute-binding protein
LMAHELFL_00414	CDS	1590	lnt	2.3.1.269	COG0815	Apolipoprotein N-acyltransferase
LMAHELFL_00415	CDS	879	corC		COG4535	Magnesium and cobalt efflux protein CorC
LMAHELFL_00416	CDS	474	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
LMAHELFL_00417	CDS	1047	ybeZ		COG1702	PhoH-like protein
LMAHELFL_00418	CDS	1425	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
LMAHELFL_00419	CDS	1176	ubiF	1.14.99.60	COG0654	3-demethoxyubiquinol 3-hydroxylase
LMAHELFL_00420	CDS	525				hypothetical protein
LMAHELFL_00421	tRNA	75				tRNA-Gln(ctg)
LMAHELFL_00422	tRNA	75				tRNA-Gln(ctg)
LMAHELFL_00423	tRNA	77				tRNA-Met(cat)
LMAHELFL_00424	tRNA	75				tRNA-Gln(ttg)
LMAHELFL_00425	tRNA	75				tRNA-Gln(ttg)
LMAHELFL_00426	tRNA	85				tRNA-Leu(tag)
LMAHELFL_00427	tRNA	77				tRNA-Met(cat)
LMAHELFL_00428	CDS	1665	asnB	6.3.5.4	COG0367	Asparagine synthetase B [glutamine-hydrolyzing]
LMAHELFL_00429	CDS	753	nagD	3.1.3.5	COG0647	Ribonucleotide monophosphatase NagD
LMAHELFL_00430	CDS	1221	nagC		COG1940	N-acetylglucosamine repressor
LMAHELFL_00431	CDS	1215	nagA	3.5.1.25	COG1820	N-acetylglucosamine-6-phosphate deacetylase
LMAHELFL_00432	CDS	801	nagB	3.5.99.6	COG0363	Glucosamine-6-phosphate deaminase
LMAHELFL_00433	CDS	1953	nagE		COG1263	PTS system N-acetylglucosamine-specific EIICBA component
LMAHELFL_00434	CDS	1668	glnS	6.1.1.18	COG0008	Glutamine--tRNA ligase
LMAHELFL_00435	CDS	1407	chiP			Chitoporin
LMAHELFL_00436	CDS	333	chiQ			putative lipoprotein ChiQ
LMAHELFL_00437	CDS	1305	proP_1			Proline/betaine transporter
LMAHELFL_00438	CDS	1140				hypothetical protein
LMAHELFL_00439	CDS	1404	ifcA	1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
LMAHELFL_00440	CDS	927	catM			HTH-type transcriptional regulator CatM
LMAHELFL_00441	CDS	453	fur		COG0735	Ferric uptake regulation protein
LMAHELFL_00442	CDS	531	fldA		COG0716	Flavodoxin 1
LMAHELFL_00443	CDS	294	ybfE			putative protein YbfE
LMAHELFL_00444	CDS	771	ybfF	3.1.-.-	COG0596	Esterase YbfF
LMAHELFL_00445	CDS	543	seqA		COG3057	Negative modulator of initiation of replication
LMAHELFL_00446	CDS	1641	pgm	5.4.2.2	COG0033	Phosphoglucomutase
LMAHELFL_00447	CDS	486				hypothetical protein
LMAHELFL_00448	CDS	1320	potE		COG0531	Putrescine transporter PotE
LMAHELFL_00449	CDS	2199	speF	4.1.1.17	COG1982	Inducible ornithine decarboxylase
LMAHELFL_00450	CDS	105				hypothetical protein
LMAHELFL_00451	CDS	678	kdpE		COG0745	KDP operon transcriptional regulatory protein KdpE
LMAHELFL_00452	CDS	2685	kdpD	2.7.13.3	COG2205	Sensor protein KdpD
LMAHELFL_00453	CDS	585	kdpC		COG2156	Potassium-transporting ATPase KdpC subunit
LMAHELFL_00454	CDS	2049	kdpB	7.2.2.6	COG2216	Potassium-transporting ATPase ATP-binding subunit
LMAHELFL_00455	CDS	1680	kdpA		COG2060	Potassium-transporting ATPase potassium-binding subunit
LMAHELFL_00456	CDS	207				hypothetical protein
LMAHELFL_00457	CDS	1422	phrB	4.1.99.3	COG0415	Deoxyribodipyrimidine photo-lyase
LMAHELFL_00458	CDS	1524	dtpD		COG3104	Dipeptide permease D
LMAHELFL_00459	CDS	744	ybgI		COG0327	GTP cyclohydrolase 1 type 2 
LMAHELFL_00460	CDS	657	pxpB	3.5.2.9	COG2049	5-oxoprolinase subunit B
LMAHELFL_00461	CDS	933	pxpC	3.5.2.9	COG1984	5-oxoprolinase subunit C
LMAHELFL_00462	CDS	735	pxpA	3.5.2.9	COG1540	5-oxoprolinase subunit A
LMAHELFL_00463	CDS	567				ISKra4 family transposase ISCep1
LMAHELFL_00464	CDS	222				hypothetical protein
LMAHELFL_00465	CDS	741				hypothetical protein
LMAHELFL_00466	CDS	1152	rfbD_1	5.4.99.9		UDP-galactopyranose mutase
LMAHELFL_00467	CDS	894				hypothetical protein
LMAHELFL_00468	CDS	1134	pglA	2.4.1.290		N,N'-diacetylbacillosaminyl-diphospho-undecaprenol alpha-1,3-N-acetylgalactosaminyltransferase
LMAHELFL_00469	CDS	771				hypothetical protein
LMAHELFL_00470	CDS	711	tagH	7.5.2.4	COG1134	Teichoic acids export ATP-binding protein TagH
LMAHELFL_00471	CDS	1779				hypothetical protein
LMAHELFL_00472	CDS	834				hypothetical protein
LMAHELFL_00473	CDS	1950				hypothetical protein
LMAHELFL_00474	CDS	138				hypothetical protein
LMAHELFL_00475	CDS	792	nei	3.2.2.-	COG0266	Endonuclease 8
LMAHELFL_00476	CDS	1047				hypothetical protein
LMAHELFL_00477	CDS	1284	gltA	2.3.3.16	COG0372	Citrate synthase
LMAHELFL_00478	CDS	405	sdhC		COG2009	Succinate dehydrogenase cytochrome b556 subunit
LMAHELFL_00479	CDS	348	sdhD		COG2142	Succinate dehydrogenase hydrophobic membrane anchor subunit
LMAHELFL_00480	CDS	1767	sdhA	1.3.5.1	COG1053	Succinate dehydrogenase flavoprotein subunit
LMAHELFL_00481	CDS	717	sdhB	1.3.5.1	COG0479	Succinate dehydrogenase iron-sulfur subunit
LMAHELFL_00482	CDS	2802	sucA	1.2.4.2	COG0567	2-oxoglutarate dehydrogenase E1 component
LMAHELFL_00483	CDS	1209	sucB	2.3.1.61	COG0508	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
LMAHELFL_00484	CDS	1167	sucC	6.2.1.5	COG0045	Succinate--CoA ligase [ADP-forming] subunit beta
LMAHELFL_00485	CDS	870	sucD	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
LMAHELFL_00486	CDS	126				hypothetical protein
LMAHELFL_00487	CDS	1569	cydA	7.1.1.7	COG1271	Cytochrome bd-I ubiquinol oxidase subunit 1
LMAHELFL_00488	CDS	1140	cydB	7.1.1.7	COG1294	Cytochrome bd-I ubiquinol oxidase subunit 2
LMAHELFL_00489	CDS	114	cydX	7.1.1.7	COG4890	Cytochrome bd-I ubiquinol oxidase subunit X
LMAHELFL_00490	CDS	282				hypothetical protein
LMAHELFL_00491	CDS	405	ybgC	3.1.2.-	COG0824	Acyl-CoA thioester hydrolase YbgC
LMAHELFL_00492	CDS	693	tolQ		COG0811	Tol-Pal system protein TolQ
LMAHELFL_00493	CDS	429	tolR		COG0848	Tol-Pal system protein TolR
LMAHELFL_00494	CDS	1179	smc			Chromosome partition protein Smc
LMAHELFL_00495	CDS	1293	tolB		COG0823	Tol-Pal system protein TolB
LMAHELFL_00496	CDS	525	pal_2		COG2885	Peptidoglycan-associated lipoprotein
LMAHELFL_00497	CDS	789	cpoB		COG1729	Cell division coordinator CpoB
LMAHELFL_00498	tRNA	76				tRNA-Lys(ttt)
LMAHELFL_00499	tRNA	76				tRNA-Val(tac)
LMAHELFL_00500	tRNA	76				tRNA-Lys(ttt)
LMAHELFL_00501	tRNA	76				tRNA-Lys(ttt)
LMAHELFL_00502	tRNA	76				tRNA-Lys(ttt)
LMAHELFL_00503	CDS	1044	nadA	2.5.1.72	COG0379	Quinolinate synthase A
LMAHELFL_00504	CDS	720	pnuC		COG3201	Nicotinamide riboside transporter PnuC
LMAHELFL_00505	CDS	939	zitB		COG1230	Zinc transporter ZitB
LMAHELFL_00506	CDS	387				hypothetical protein
LMAHELFL_00507	CDS	1053	aroG	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive
LMAHELFL_00508	CDS	546	fumB_1	4.2.1.2	COG1838	Fumarate hydratase class I, anaerobic
LMAHELFL_00509	CDS	846	ttdA_1	4.2.1.32	COG1951	L(+)-tartrate dehydratase subunit alpha
LMAHELFL_00510	CDS	891	cynR			HTH-type transcriptional regulator CynR
LMAHELFL_00511	CDS	927	yjiE_1			HTH-type transcriptional regulator YjiE
LMAHELFL_00512	CDS	1269				hypothetical protein
LMAHELFL_00513	CDS	243	oadG_1	7.2.4.2	COG3630	Oxaloacetate decarboxylase gamma chain
LMAHELFL_00514	CDS	1770	oadA	7.2.4.2	COG0511	Oxaloacetate decarboxylase alpha chain
LMAHELFL_00515	CDS	1302	oadB_1	7.2.4.2	COG1883	Oxaloacetate decarboxylase beta chain
LMAHELFL_00516	CDS	699	citG_2	2.4.2.52		2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase
LMAHELFL_00517	CDS	1080	hmuU		COG0609	Hemin transport system permease protein HmuU
LMAHELFL_00518	CDS	777	yusV		COG1120	putative siderophore transport system ATP-binding protein YusV
LMAHELFL_00519	CDS	753	gpmA	5.4.2.11	COG0588	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
LMAHELFL_00520	CDS	1041	galM	5.1.3.3	COG2017	Aldose 1-epimerase
LMAHELFL_00521	CDS	1149	galK	2.7.1.6	COG0153	Galactokinase
LMAHELFL_00522	CDS	1047	galT	2.7.7.12	COG1085	Galactose-1-phosphate uridylyltransferase
LMAHELFL_00523	CDS	1017	galE	5.1.3.2	COG1087	UDP-glucose 4-epimerase
LMAHELFL_00524	CDS	909				hypothetical protein
LMAHELFL_00525	CDS	1476	modF		COG1119	ABC transporter ATP-binding protein ModF
LMAHELFL_00526	CDS	789	modE		COG2005	DNA-binding transcriptional dual regulator ModE
LMAHELFL_00527	CDS	150	acrZ			Multidrug efflux pump accessory protein AcrZ
LMAHELFL_00528	CDS	774	modA		COG0725	Molybdate-binding protein ModA
LMAHELFL_00529	CDS	690	modB		COG4149	Molybdenum transport system permease protein ModB
LMAHELFL_00530	CDS	1059	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
LMAHELFL_00531	CDS	819	ybhA_1	3.1.3.74	COG0561	Pyridoxal phosphate phosphatase YbhA
LMAHELFL_00532	CDS	996	pgl	3.1.1.31	COG2706	6-phosphogluconolactonase
LMAHELFL_00533	CDS	1284	ybhC	3.1.2.-	COG4677	Putative acyl-CoA thioester hydrolase YbhC
LMAHELFL_00534	CDS	1170	hutI	3.5.2.7	COG1228	Imidazolonepropionase
LMAHELFL_00535	CDS	942	hutG	3.5.3.8	COG0010	Formimidoylglutamase
LMAHELFL_00536	CDS	726	nagR_1		COG2188	HTH-type transcriptional repressor NagR
LMAHELFL_00537	CDS	1686	hutU	4.2.1.49	COG2987	Urocanate hydratase
LMAHELFL_00538	CDS	1521	hutH	4.3.1.3	COG2986	Histidine ammonia-lyase
LMAHELFL_00539	CDS	477				hypothetical protein
LMAHELFL_00540	CDS	1290	bioA	2.6.1.62	COG0161	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
LMAHELFL_00541	CDS	1041	bioB	2.8.1.6	COG0502	Biotin synthase
LMAHELFL_00542	CDS	1158	bioF	2.3.1.47	COG0156	8-amino-7-oxononanoate synthase
LMAHELFL_00543	CDS	756	bioC	2.1.1.197	COG0500	Malonyl-[acyl-carrier protein] O-methyltransferase
LMAHELFL_00544	CDS	687	bioD1_1	6.3.3.3	COG0132	ATP-dependent dethiobiotin synthetase BioD 1
LMAHELFL_00545	CDS	2022	uvrB		COG0556	UvrABC system protein B
LMAHELFL_00546	CDS	2268	slrP	2.3.2.27	COG4886	E3 ubiquitin-protein ligase SlrP
LMAHELFL_00547	CDS	909	ybhK		COG0391	Putative gluconeogenesis factor
LMAHELFL_00548	CDS	1023	moaA	4.1.99.22	COG2896	GTP 3',8-cyclase
LMAHELFL_00549	CDS	513	moaB		COG0521	Molybdenum cofactor biosynthesis protein B
LMAHELFL_00550	CDS	444	moaC	4.6.1.17	COG0315	Cyclic pyranopterin monophosphate synthase
LMAHELFL_00551	CDS	246	moaD		COG1977	Molybdopterin synthase sulfur carrier subunit
LMAHELFL_00552	CDS	453	moaE	2.8.1.12	COG0314	Molybdopterin synthase catalytic subunit
LMAHELFL_00553	CDS	705	ybhL		COG0670	Inner membrane protein YbhL
LMAHELFL_00554	CDS	654				hypothetical protein
LMAHELFL_00555	CDS	603				hypothetical protein
LMAHELFL_00556	CDS	561				hypothetical protein
LMAHELFL_00557	CDS	963	ybhN		COG0392	Inner membrane protein YbhN
LMAHELFL_00558	CDS	1242	clsB	2.7.8.-	COG1502	Cardiolipin synthase B
LMAHELFL_00559	CDS	759				hypothetical protein
LMAHELFL_00560	CDS	411	ybhQ			Inner membrane protein YbhQ
LMAHELFL_00561	CDS	1107	ybhR		COG0842	putative multidrug ABC transporter permease YbhR
LMAHELFL_00562	CDS	1131	ybhS		COG0842	putative multidrug ABC transporter permease YbhS
LMAHELFL_00563	CDS	1737	ybhF		COG1131	putative multidrug ABC transporter ATP-binding protein YbhF
LMAHELFL_00564	CDS	996				hypothetical protein
LMAHELFL_00565	CDS	675	cecR		COG1309	HTH-type transcriptional dual regulator CecR
LMAHELFL_00566	CDS	1362	rhlE	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlE
LMAHELFL_00567	CDS	2145	dinG	3.6.4.12	COG1199	ATP-dependent DNA helicase DinG
LMAHELFL_00568	CDS	975	ybiB		COG0547	putative protein YbiB
LMAHELFL_00569	CDS	261	mcbA			putative protein McbA
LMAHELFL_00570	CDS	267	ybiI		COG1734	putative protein YbiI
LMAHELFL_00571	CDS	927	rlmF	2.1.1.181	COG3129	Ribosomal RNA large subunit methyltransferase F
LMAHELFL_00572	CDS	2223	ybiO		COG0668	Moderate conductance mechanosensitive channel YbiO
LMAHELFL_00573	CDS	723	glnQ_2		COG1126	Glutamine transport ATP-binding protein GlnQ
LMAHELFL_00574	CDS	660	glnP		COG0765	Glutamine transport system permease protein GlnP
LMAHELFL_00575	CDS	747	glnH		COG0834	Glutamine-binding periplasmic protein
LMAHELFL_00576	CDS	504	dps	1.16.-.-	COG0783	DNA protection during starvation protein
LMAHELFL_00577	CDS	888	rhtA		COG5006	Threonine/homoserine exporter RhtA
LMAHELFL_00578	CDS	516	ompX		COG3637	Outer membrane protein X
LMAHELFL_00579	CDS	1581	opgE	2.7.-.-	COG2194	Phosphoethanolamine transferase OpgE
LMAHELFL_00580	CDS	129	mntS			Small protein MntS
LMAHELFL_00581	CDS	474	mntR		COG1321	Transcriptional regulator MntR
LMAHELFL_00582	CDS	1113	ybiR		COG0471	Inner membrane protein YbiR
LMAHELFL_00583	CDS	921	ybiS	2.-.-.-	COG1376	putative L,D-transpeptidase YbiS
LMAHELFL_00584	CDS	1596	ybiT		COG0488	putative ABC transporter ATP-binding protein YbiT
LMAHELFL_00585	CDS	1266	ybiU			putative protein YbiU
LMAHELFL_00586	CDS	810	ybiV	3.1.3.23	COG0561	Sugar phosphatase YbiV
LMAHELFL_00587	CDS	2433	pflD	4.2.1.172	COG1882	Trans-4-hydroxy-L-proline dehydratase
LMAHELFL_00588	CDS	900	cutD	1.97.1.-	COG1180	Choline trimethylamine-lyase activating enzyme
LMAHELFL_00589	CDS	750	moeB	2.7.7.80	COG0476	Molybdopterin-synthase adenylyltransferase
LMAHELFL_00590	CDS	1236	moeA	2.10.1.1	COG0303	Molybdopterin molybdenumtransferase
LMAHELFL_00591	CDS	942	iaaA	3.4.19.5	COG1446	Isoaspartyl peptidase
LMAHELFL_00592	CDS	1872	gsiA	7.4.2.10	COG1123	Glutathione import ATP-binding protein GsiA
LMAHELFL_00593	CDS	1539	gsiB		COG0747	Glutathione-binding protein GsiB
LMAHELFL_00594	CDS	921	gsiC		COG0601	Glutathione transport system permease protein GsiC
LMAHELFL_00595	CDS	912	gsiD		COG1173	Glutathione transport system permease protein GsiD
LMAHELFL_00596	CDS	1326	rimO	2.8.4.4	COG0621	Ribosomal protein S12 methylthiotransferase RimO
LMAHELFL_00597	CDS	384				hypothetical protein
LMAHELFL_00598	CDS	141				hypothetical protein
LMAHELFL_00599	CDS	477				hypothetical protein
LMAHELFL_00600	CDS	750	etfB			Electron transfer flavoprotein subunit beta
LMAHELFL_00601	CDS	948	etfA		COG2025	Electron transfer flavoprotein subunit alpha
LMAHELFL_00602	CDS	198				hypothetical protein
LMAHELFL_00603	CDS	1164	mmgC	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
LMAHELFL_00604	CDS	192				hypothetical protein
LMAHELFL_00605	CDS	1686		1.5.5.1	COG0644	Electron transfer flavoprotein-ubiquinone oxidoreductase
LMAHELFL_00606	CDS	891	cysL		COG0583	HTH-type transcriptional regulator CysL
LMAHELFL_00607	CDS	426				hypothetical protein
LMAHELFL_00608	CDS	477				hypothetical protein
LMAHELFL_00609	CDS	174	yliI	1.1.5.-	COG2133	Aldose sugar dehydrogenase YliI
LMAHELFL_00610	CDS	627	gstB	2.5.1.18	COG0625	Glutathione S-transferase GstB
LMAHELFL_00611	CDS	1071	dacC	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacC
LMAHELFL_00612	CDS	759	deoR_1		COG1349	Deoxyribose operon repressor
LMAHELFL_00613	CDS	675	ybjG	3.6.1.27	COG0671	Putative undecaprenyl-diphosphatase YbjG
LMAHELFL_00614	CDS	1233	mdfA			Multidrug transporter MdfA
LMAHELFL_00615	CDS	816	ybjI	3.1.3.104	COG0561	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YbjI
LMAHELFL_00616	CDS	1212	ybjJ			Inner membrane protein YbjJ
LMAHELFL_00617	CDS	621	rcdA		COG3226	HTH-type transcriptional regulator RcdA
LMAHELFL_00618	CDS	1686	aspT_1			Aspartate/alanine antiporter
LMAHELFL_00619	CDS	378	ybjM			Inner membrane protein YbjM
LMAHELFL_00620	CDS	264	grxA		COG0695	Glutaredoxin 1
LMAHELFL_00621	CDS	291				hypothetical protein
LMAHELFL_00622	CDS	723	nfsA	1.-.-.-	COG0778	Oxygen-insensitive NADPH nitroreductase
LMAHELFL_00623	CDS	903	rimK	6.3.2.-	COG0189	Ribosomal protein S6--L-glutamate ligase
LMAHELFL_00624	CDS	477	ybjN			putative protein YbjN
LMAHELFL_00625	CDS	1116	potF		COG0687	Putrescine-binding periplasmic protein
LMAHELFL_00626	CDS	1134	potA_1	7.6.2.11	COG3842	Spermidine/putrescine import ATP-binding protein PotA
LMAHELFL_00627	CDS	954	potH		COG1176	Putrescine transport system permease protein PotH
LMAHELFL_00628	CDS	846	ydcV_1			Inner membrane ABC transporter permease protein YdcV
LMAHELFL_00629	CDS	402	ybjO			Inner membrane protein YbjO
LMAHELFL_00630	CDS	1131	rlmC	2.1.1.189	COG2265	23S rRNA (uracil(747)-C(5))-methyltransferase RlmC
LMAHELFL_00631	CDS	1344	ulaA_1		COG3037	Ascorbate-specific PTS system EIIC component
LMAHELFL_00632	CDS	321	ulaB_1	2.7.1.194	COG3414	Ascorbate-specific PTS system EIIB component
LMAHELFL_00633	CDS	1488				hypothetical protein
LMAHELFL_00634	CDS	732	artJ_1		COG0834	ABC transporter arginine-binding protein 1
LMAHELFL_00635	CDS	669	artM_1		COG4160	Arginine ABC transporter permease protein ArtM
LMAHELFL_00636	CDS	717	artQ		COG4215	Arginine ABC transporter permease protein ArtQ
LMAHELFL_00637	CDS	732	artI		COG0834	Putative ABC transporter arginine-binding protein 2
LMAHELFL_00638	CDS	729	artP	3.6.3.-	COG4161	Arginine transport ATP-binding protein ArtP
LMAHELFL_00639	CDS	516	ybjP			putative lipoprotein YbjP
LMAHELFL_00640	CDS	324				hypothetical protein
LMAHELFL_00641	CDS	831	amiD	3.5.1.28	COG3023	N-acetylmuramoyl-L-alanine amidase AmiD
LMAHELFL_00642	CDS	1014	oleD	1.1.1.412	COG0451	2-alkyl-3-oxoalkanoate reductase
LMAHELFL_00643	CDS	1434				hypothetical protein
LMAHELFL_00644	CDS	1002	ltaE	4.1.2.48	COG2008	Low specificity L-threonine aldolase
LMAHELFL_00645	CDS	1719	poxB	1.2.5.1	COG0028	Pyruvate dehydrogenase [ubiquinone]
LMAHELFL_00646	CDS	969	hcr	1.-.-.-	COG1018	NADH oxidoreductase HCR
LMAHELFL_00647	CDS	1653	hcp	1.7.99.1	COG1151	Hydroxylamine reductase
LMAHELFL_00648	CDS	900	lysO		COG2431	Lysine exporter LysO
LMAHELFL_00649	CDS	1659	recF_1			DNA replication and repair protein RecF
LMAHELFL_00650	CDS	951				hypothetical protein
LMAHELFL_00651	CDS	1119	macA		COG0845	Macrolide export protein MacA
LMAHELFL_00652	CDS	1947	macB	3.6.3.-	COG0577	Macrolide export ATP-binding/permease protein MacB
LMAHELFL_00653	CDS	222	cspD		COG1278	Cold shock-like protein CspD
